Nets=['Deep_sig.21', 'Deep_sig.22', 'Deep_sig.23', 'Deep_sig.24']	GPUid=5
N=20	gauge=True	increment=0.01	amount=201	epochs=1	init_p=1000.0	rate=1.0
V=0.270	U=0.000	H=-1.19129360	P=0.00000543	D=0.00156786	CDW=0.09626681	BDW=0.01441497	Next_init_amount=1
V=0.260	U=0.000	H=-1.19432282	P=0.00000525	D=0.00154663	CDW=0.09448089	BDW=0.01385123	Next_init_amount=1
V=0.250	U=0.000	H=-1.19778919	P=0.00000677	D=0.00158068	CDW=0.09392551	BDW=0.01370156	Next_init_amount=1
V=0.240	U=0.000	H=-1.20002973	P=0.00000473	D=0.00153802	CDW=0.09425662	BDW=0.01343787	Next_init_amount=1
V=0.230	U=0.000	H=-1.20353830	P=0.00003459	D=0.00158606	CDW=0.09472109	BDW=0.01343283	Next_init_amount=1
V=0.220	U=0.000	H=-1.20591152	P=0.00000526	D=0.00154232	CDW=0.09372629	BDW=0.01342905	Next_init_amount=1
V=0.210	U=0.000	H=-1.20879054	P=0.00000437	D=0.00154356	CDW=0.09298141	BDW=0.01343140	Next_init_amount=1
V=0.200	U=0.000	H=-1.21263039	P=0.00002043	D=0.00167439	CDW=0.09374556	BDW=0.01342937	Next_init_amount=1
V=0.190	U=0.000	H=-1.21515274	P=0.00000474	D=0.00155902	CDW=0.09268729	BDW=0.01317927	Next_init_amount=1
V=0.180	U=0.000	H=-1.21888721	P=0.00003734	D=0.00158208	CDW=0.09316872	BDW=0.01317665	Next_init_amount=1
V=0.170	U=0.000	H=-1.22101951	P=0.00000523	D=0.00152363	CDW=0.09126743	BDW=0.01368764	Next_init_amount=1
V=0.160	U=0.000	H=-1.22349477	P=0.00000525	D=0.00149506	CDW=0.09056154	BDW=0.01342747	Next_init_amount=1
V=0.150	U=0.000	H=-1.22647655	P=0.00000463	D=0.00142590	CDW=0.08767808	BDW=0.01236534	Next_init_amount=1
V=0.140	U=0.000	H=-1.22975576	P=0.00000570	D=0.00137436	CDW=0.08155241	BDW=0.01171559	Next_init_amount=1
V=0.130	U=0.000	H=-1.23244417	P=0.00000464	D=0.00144893	CDW=0.07874946	BDW=0.00940898	Next_init_amount=1
V=0.120	U=0.000	H=-1.23542964	P=0.00000436	D=0.00141504	CDW=0.07932697	BDW=0.00935525	Next_init_amount=1
V=0.110	U=0.000	H=-1.23811579	P=0.00000572	D=0.00141795	CDW=0.07881660	BDW=0.00934955	Next_init_amount=1
V=0.100	U=0.000	H=-1.24106824	P=0.00000526	D=0.00127376	CDW=0.07883527	BDW=0.00944325	Next_init_amount=1
V=0.090	U=0.000	H=-1.24391615	P=0.00000415	D=0.00130474	CDW=0.07828169	BDW=0.00950345	Next_init_amount=1
V=0.080	U=0.000	H=-1.24668324	P=0.00000374	D=0.00124745	CDW=0.07857450	BDW=0.00951266	Next_init_amount=1
V=0.070	U=0.000	H=-1.24957860	P=0.00000823	D=0.00122633	CDW=0.07900874	BDW=0.00950474	Next_init_amount=1
V=0.060	U=0.000	H=-1.25260663	P=0.00000394	D=0.00135062	CDW=0.07849312	BDW=0.00950265	Next_init_amount=1
V=0.050	U=0.000	H=-1.25591099	P=0.00000908	D=0.00136741	CDW=0.07795320	BDW=0.00949779	Next_init_amount=1
V=0.040	U=0.000	H=-1.25884628	P=0.00000438	D=0.00134508	CDW=0.07756313	BDW=0.00956801	Next_init_amount=1
