Nets=['Deep_sig.21', 'Deep_sig.23', 'Deep_sig.24']	GPUid=4
N=20	gauge=True	increment=0.01	amount=151	epochs=1	init_p=1000.0	rate=1.0
V=1.830	U=-100.000	H=-0.26914600	P=0.00000332	D=0.00193583	CDW=-0.08522112	BDW=0.02298051	Next_init_amount=1
V=1.840	U=-100.000	H=-0.26728898	P=0.00000298	D=0.00190373	CDW=-0.08509436	BDW=0.02297734	Next_init_amount=1
V=1.850	U=-100.000	H=-0.26570538	P=0.00000269	D=0.00191685	CDW=-0.08488551	BDW=0.02304214	Next_init_amount=1
V=1.860	U=-100.000	H=-0.26412123	P=0.00000271	D=0.00192198	CDW=-0.08456315	BDW=0.02306975	Next_init_amount=1
V=1.870	U=-100.000	H=-0.26211908	P=0.00000279	D=0.00183920	CDW=-0.08426686	BDW=0.02320437	Next_init_amount=1
V=1.880	U=-100.000	H=-0.26067352	P=0.00000267	D=0.00188227	CDW=-0.08397221	BDW=0.02333494	Next_init_amount=1
V=1.890	U=-100.000	H=-0.25895926	P=0.00000299	D=0.00183354	CDW=-0.08290149	BDW=0.02324334	Next_init_amount=1
V=1.900	U=-100.000	H=-0.25734189	P=0.00000302	D=0.00182219	CDW=-0.08078218	BDW=0.02304535	Next_init_amount=1
V=1.910	U=-100.000	H=-0.25591397	P=0.00000274	D=0.00184118	CDW=-0.08032485	BDW=0.02269268	Next_init_amount=1
V=1.920	U=-100.000	H=-0.25409490	P=0.00000258	D=0.00179287	CDW=-0.08033687	BDW=0.02281724	Next_init_amount=1
V=1.930	U=-100.000	H=-0.25278580	P=0.00000274	D=0.00183599	CDW=-0.08013490	BDW=0.02260965	Next_init_amount=1
V=1.940	U=-100.000	H=-0.25108677	P=0.00000327	D=0.00182342	CDW=-0.07998583	BDW=0.02255812	Next_init_amount=1
V=1.950	U=-100.000	H=-0.24926820	P=0.00000281	D=0.00174721	CDW=-0.07994008	BDW=0.02263561	Next_init_amount=1
V=1.960	U=-100.000	H=-0.24805894	P=0.00000356	D=0.00181062	CDW=-0.07973520	BDW=0.02248368	Next_init_amount=1
V=1.970	U=-100.000	H=-0.24620278	P=0.00000252	D=0.00173493	CDW=-0.07957635	BDW=0.02270301	Next_init_amount=1
V=1.980	U=-100.000	H=-0.24496801	P=0.00000268	D=0.00178757	CDW=-0.07940710	BDW=0.02271464	Next_init_amount=1
V=1.990	U=-100.000	H=-0.24318086	P=0.00000292	D=0.00171478	CDW=-0.07912291	BDW=0.02296872	Next_init_amount=1
V=2.000	U=-100.000	H=-0.24195264	P=0.00000338	D=0.00175110	CDW=-0.07913687	BDW=0.02309106	Next_init_amount=1
